1|44|31,32,34,33,35,36,38,37,39,40,42,41,43,44,2,1,3,4,5,6,8,7,9,10,11,12,14,13,16,15,18,17,19,20,22,21,23,24,25,26,28,27,30,29
2|44|5,6,7,8,10,9,12,11,14,13,16,15,18,17,20,19,21,22,24,23,25,26,28,27,29,30,31,32,33,34,35,36,37,38,40,39,42,41,44,43,2,1,3,4;4,3,5,6,8,7,10,9,12,11,14,13,16,15,18,17,20,19,21,22,23,24,26,25,28,27,29,30,32,31,33,34,36,35,37,38,39,40,41,42,43,44,1,2
3|44|37,38,40,39,36,35,34,33,32,31,30,29,27,28,25,26,24,23,22,21,19,20,17,18,16,15,14,13,11,12,9,10,7,8,5,6,2,1,3,4,44,43,41,42;29,30,32,31,28,27,25,26,23,24,21,22,20,19,18,17,15,16,13,14,12,11,10,9,8,7,5,6,2,1,3,4,41,42,44,43,40,39,37,38,34,33,35,36
4|44|25,26,28,27,24,23,22,21,19,20,17,18,15,16,13,14,11,12,9,10,8,7,6,5,1,2,4,3,42,41,43,44,39,40,38,37,36,35,33,34,30,29,31,32;6,5,7,8,2,1,3,4,42,41,44,43,40,39,37,38,35,36,33,34,31,32,29,30,27,28,25,26,23,24,21,22,19,20,17,18,15,16,14,13,10,9,12,11
5|88|44,43,1,2,4,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,19,22,21,23,24,25,26,28,27,29,30,32,31,33,34,36,35,38,37,40,39,42,41;36,35,38,37,39,40,41,42,43,44,1,2,4,3,6,5,7,8,10,9,12,11,14,13,15,16,18,17,20,19,22,21,23,24,26,25,28,27,29,30,31,32,34,33
6|88|39,40,37,38,43,44,41,42,4,3,2,1,5,6,7,8,9,10,12,11,13,14,16,15,17,18,20,19,21,22,24,23,25,26,27,28,30,29,31,32,36,35,34,33;34,33,35,36,32,31,30,29,27,28,26,25,24,23,21,22,19,20,18,17,16,15,13,14,11,12,10,9,7,8,5,6,1,2,4,3,41,42,44,43,38,37,39,40
7|88|18,17,19,20,24,23,22,21,28,27,25,26,30,29,32,31,36,35,33,34,38,37,39,40,43,44,42,41,1,2,4,3,7,8,6,5,9,10,12,11,14,13,15,16;6,5,7,8,1,2,4,3,43,44,42,41,40,39,37,38,35,36,34,33,31,32,29,30,28,27,25,26,24,23,22,21,19,20,18,17,16,15,13,14,11,12,10,9
8|88|29,30,31,32,36,35,34,33,38,37,40,39,41,42,43,44,2,1,3,4,8,7,6,5,11,12,10,9,14,13,16,15,19,20,17,18,22,21,24,23,28,27,26,25;44,43,41,42,39,40,38,37,33,34,36,35,32,31,29,30,25,26,27,28,21,22,24,23,17,18,19,20,15,16,14,13,9,10,12,11,8,7,5,6,3,4,2,1
9|88|16,15,13,14,19,20,17,18,23,24,21,22,26,25,28,27,32,31,29,30,35,36,34,33,38,37,39,40,43,44,41,42,2,1,4,3,6,5,7,8,11,12,9,10;10,9,12,11,8,7,6,5,2,1,4,3,42,41,43,44,37,38,40,39,35,36,33,34,31,32,30,29,28,27,25,26,23,24,21,22,17,18,20,19,14,13,15,16
10|88|8,7,6,5,10,9,12,11,16,15,13,14,20,19,18,17,21,22,23,24,25,26,28,27,30,29,32,31,34,33,36,35,39,40,38,37,43,44,42,41,3,4,1,2;40,39,37,38,35,36,33,34,31,32,29,30,26,25,27,28,23,24,21,22,19,20,17,18,14,13,15,16,11,12,9,10,7,8,5,6,3,4,2,1,43,44,41,42;2,1,4,3,41,42,43,44,39,40,38,37,35,36,34,33,30,29,31,32,25,26,28,27,21,22,24,23,18,17,19,20,16,15,13,14,12,11,9,10,5,6,7,8
